Date,Category,Item,Cost,Note
Day 1,spot,西安五天 核心景点 1-1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 1,spot,西安五天 核心景点 1-2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 1,food,西安五天 特色餐馆 1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 1,spot,西安五天 城市漫游 1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 1,food,西安五天 夜市 1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 1,spot,西安五天 夜景点 1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 2,spot,西安五天 核心景点 2-1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 2,spot,西安五天 核心景点 2-2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 2,food,西安五天 特色餐馆 2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 2,spot,西安五天 城市漫游 2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 2,food,西安五天 夜市 2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 2,spot,西安五天 夜景点 2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 3,spot,西安五天 核心景点 3-1,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 3,spot,西安五天 核心景点 3-2,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 3,food,西安五天 特色餐馆 3,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 3,spot,西安五天 城市漫游 3,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 3,food,西安五天 夜市 3,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
Day 3,spot,西安五天 夜景点 3,0.0,基于当前可用数据的离线占位行程，安装依赖并配置 API 后可生成真实内容。
N/A,buffer,不可预见费用 (10%),0.0,Buffer
